Year,state,shape,total duration,mean duration,number of sightings
1996,mo,light,1200.0,600.0,2
1996,mo,polygonal,240.0,240.0,1
1996,mo,spherical,5.0,5.0,1
1996,mo,triangular,3003.0,1001.0,3
1996,mo,unknown/other,2.0,2.0,1
1996,mt,spherical,3.0,3.0,1
1996,nc,circular,300.0,300.0,1
1996,nc,fireball,120.0,120.0,1
1996,nc,light,240.0,120.0,2
1996,nc,polygonal,240.0,240.0,1
1996,nc,triangular,405.0,101.25,4
1996,nc,unknown/other,2.0,2.0,1
1996,nd,light,60.0,60.0,1
1996,nd,spherical,600.0,600.0,1
1996,ne,circular,30.0,30.0,1
1996,ne,polygonal,300.0,300.0,1
1996,nh,light,180.0,180.0,1
